State of Origin,Industry of Origin (ANZSIC06),Commodity by SITC,Frequency,Country of Destination,Time,Value,Flags
"Australian Capital Territory","Total","TOTAL","Monthly","Total","Jun-2012",4141.612,
"Australian Capital Territory","Total","TOTAL","Monthly","Total","Nov-2012",1935.673,
"Australian Capital Territory","Total","TOTAL","Monthly","Total","Jan-2013",4311.1,
"Australian Capital Territory","Total","TOTAL","Monthly","Total","Feb-2013",1043.064,
"Australian Capital Territory","Total","TOTAL","Monthly","Total","Jun-2013",2.28,
"Australian Capital Territory","Total","TOTAL","Monthly","Total","Sep-2013",548.8,
"Australian Capital Territory","Total","TOTAL","Monthly","Total","Nov-2013",678.223,
"Australian Capital Territory","Total","TOTAL","Monthly","Total","May-2014",2.127,
"Australian Capital Territory","Total","TOTAL","Monthly","New Zealand","Nov-2013",678.223,
"Australian Capital Territory","Total","TOTAL","Monthly","Solomon Islands","Sep-2013",548.8,
"Australian Capital Territory","Total","TOTAL","Monthly","China","Jun-2012",4127.8,
"Australian Capital Territory","Total","TOTAL","Monthly","Taiwan","Nov-2012",1235.26,
"Australian Capital Territory","Total","TOTAL","Monthly","United States of America","Jun-2012",2.797,
"Australian Capital Territory","Total","TOTAL","Monthly","United States of America","Feb-2013",1043.064,
"Australian Capital Territory","Total","TOTAL","Monthly","United States of America","Jun-2013",2.28,
"Australian Capital Territory","Total","TOTAL","Monthly","Cook Islands","May-2014",2.127,
"Australian Capital Territory","Total","TOTAL","Monthly","United Kingdom","Jun-2012",11.015,
"Australian Capital Territory","Total","TOTAL","Monthly","Samoa","Nov-2012",700.413,
"Australian Capital Territory","Total","TOTAL","Monthly","Japan","Jan-2013",4311.1,
